"altitud","utmX","utmY"
591.632995605469,469895.073415428,4483237.85263116
693.760070800781,445803.172256255,4488764.29770395
653.997802734375,447036.012699742,4488402.02106783
692.813903808594,429389.18414408,4466935.11931364
681.574462890625,429316.61290661,4466035.36347148
690.266174316406,430896.66799683,4466668.29736467
685.127380371094,432447.440354417,4467680.81535898
695.080932617188,429447.195166387,4467304.63598873
690.918579101563,424192.298867104,4473986.10846903
641.393798828125,468429.021556972,4489460.6716903
879.758361816406,413823.731177209,4497322.98111593
885.412658691406,415454.671882698,4492306.41977721
622.737609863281,439575.978756938,4463517.28831181
622.203369140625,439125.818860135,4464318.52663245
630.9560546875,437181.28927226,4465340.62647811
682.068481445313,434163.64032866,4464017.00763866
623.337341308594,437262.652882995,4466651.25152022
625.511108398438,436973.298799832,4466390.32604967
626.799194335938,437430.108803361,4470029.54999858
685.395385742188,434286.790616798,4470237.36779008
676.082702636719,435127.848813902,4472151.64586555
711.060852050781,440410.713902814,4478520.81539228
721.097717285156,440911.8042065,4479781.69471033
727.736083984375,441790.054864876,4480603.89967231
676.028503417969,435010.834338267,4471222.38884215
605.5791015625,440832.615162594,4465424.82303411
645.275207519531,472863.143965775,4488911.9830725
644.378601074219,426355.299159199,4463488.61713416
670.656982421875,427073.192056903,4464512.89509012
657.9677734375,432666.61916087,4477469.42691534
676.673950195313,446852.726667762,4488923.34692234
689.599609375,446906.055985794,4489616.09250424
668.813598632813,446441.292949318,4490425.56285374
582.689819335938,461453.465263952,4478845.95779763
657.367492675781,456762.982292826,4505474.14963238
696.342529296875,444359.813984804,4488376.41890642
685.119323730469,423983.76542999,4473426.0299642
